income,expenses,savings,goals,recommended_plan,debt_ratio,age,risk_tolerance,investment_experience
9.490142459033699,8.445615088677721,1.0445273703559774,27.757458710847956,0.2675932882251175,0.07724376494774078,42,low,beginner
7.585207096486446,6.3902591196928675,1.1949479767935784,13.130254828466505,0.2772221270821342,0.04069844014811332,34,medium,advanced
9.943065614302078,7.516590078798698,2.4264755355033802,27.053807520513587,0.6895102687513979,0.07801441207573016,52,high,advanced
12.569089569224076,8.613676546457402,3.955413022766674,23.73664201386178,0.7842964653441319,0.11551741671568849,35,high,advanced
7.297539875829992,5.982686154205426,1.3148537216245657,31.589760173067436,0.4024920354756439,0.2828948352213407,57,medium,intermediate
7.297589129152458,5.760341313977756,1.5372478151747018,35.15181612010065,0.42824965355661015,0.18311281793450762,25,high,beginner
12.737638446522174,10.693493592540754,2.04414485398142,22.33045157425197,0.45472599545587916,0.2504921357048887,37,low,advanced
10.302304187458727,8.38110145181643,1.9212027356422965,49.893062179741904,0.5238532644939263,0.21310545021369967,61,high,beginner
6.591576842195144,5.635503368942554,0.95607347325259,21.943478599906843,0.33317545019190153,0.033750939157989525,44,low,advanced
9.627680130757895,6.705452756906054,2.9222273738518414,24.535949035364197,0.8526495080848501,0.22077612191218465,25,high,beginner
6.609746921562613,5.828074328153094,0.7816725934095192,11.692756411389295,0.21109189223307703,0.08252966446773732,27,low,intermediate
6.60281073928923,5.082579333661151,1.5202314056280786,21.473561636408423,0.4788920267783086,0.1917323540984119,42,low,beginner
8.725886814698102,7.853298133228292,0.8725886814698098,37.353814720152926,0.3709526436831317,0.10228859209289655,38,medium,advanced
3.0,2.0432436545731294,0.9567563454268706,11.92440801130033,0.3625562845474989,0.29930167897939775,55,low,beginner
3.0,2.7,0.2999999999999998,5.027373120371725,0.0591297850845973,0.07906544384903334,51,medium,intermediate
6.313137412277082,4.859796856344922,1.4533405559321597,11.080543683412339,0.35801630755506486,0.08373914123228089,41,high,intermediate
4.961506638996728,3.3979285042780383,1.5635781347186901,14.438264591091913,0.453355791907459,0.2792016766687195,53,high,beginner
8.942741997785822,6.274329881306246,2.668412116479576,22.656586456021866,0.7384745831437304,0.007393321390896801,60,high,advanced
5.275927773436367,3.787932904032476,1.4879948694038907,12.205041824583693,0.3816414305984189,0.20900669636195907,61,low,intermediate
3.7630888959941258,2.9819340882919834,0.7811548077021424,9.345690527478396,0.22092599493357024,0.21759791722076344,50,high,intermediate
12.396946306764661,9.945866077318215,2.451080229446447,53.457982954869074,0.6560264096728489,0.2509135732231198,41,high,beginner
7.322671098540393,5.071901680097941,2.2507694184424523,34.799516590800806,0.8321364514079673,0.29233179319154257,46,medium,intermediate
8.202584614063772,6.131961400171655,2.070623213892117,23.933988873462233,0.5932815135108189,0.2926805757469957,49,medium,intermediate
3.725755441359629,3.3531798972236664,0.37257554413596283,17.404451150387864,0.1292502348196453,0.019583027269939168,26,high,advanced
6.366851826424452,5.730166643782007,0.6366851826424451,16.71448196400858,0.1576620299208666,0.24655179682587075,46,high,advanced
